Time (Hour),Node 0 (Apparent Power; Total),Node 0 (Apparent Power; Critical),Node 0 (Apparent Power; Remaining),Node 0 (Real Power; Total),Node 0 (Real Power; Critical),Node 0 (Real Power; Remaining),Node 0 (Reactive Power; Total),Node 0 (Reactive Power; Critical),Node 0 (Reactive Power; Remaining),Node 1 (Apparent Power; Total),Node 1 (Apparent Power; Critical),Node 1 (Apparent Power; Remaining),Node 1 (Real Power; Total),Node 1 (Real Power; Critical),Node 1 (Real Power; Remaining),Node 1 (Reactive Power; Total),Node 1 (Reactive Power; Critical),Node 1 (Reactive Power; Remaining),Node 2 (Apparent Power; Total),Node 2 (Apparent Power; Critical),Node 2 (Apparent Power; Remaining),Node 2 (Real Power; Total),Node 2 (Real Power; Critical),Node 2 (Real Power; Remaining),Node 2 (Reactive Power; Total),Node 2 (Reactive Power; Critical),Node 2 (Reactive Power; Remaining),Node 3 (Apparent Power; Total),Node 3 (Apparent Power; Critical),Node 3 (Apparent Power; Remaining),Node 3 (Real Power; Total),Node 3 (Real Power; Critical),Node 3 (Real Power; Remaining),Node 3 (Reactive Power; Total),Node 3 (Reactive Power; Critical),Node 3 (Reactive Power; Remaining),Node 4 (Apparent Power; Total),Node 4 (Apparent Power; Critical),Node 4 (Apparent Power; Remaining),Node 4 (Real Power; Total),Node 4 (Real Power; Critical),Node 4 (Real Power; Remaining),Node 4 (Reactive Power; Total),Node 4 (Reactive Power; Critical),Node 4 (Reactive Power; Remaining),Node 5 (Apparent Power; Total),Node 5 (Apparent Power; Critical),Node 5 (Apparent Power; Remaining),Node 5 (Real Power; Total),Node 5 (Real Power; Critical),Node 5 (Real Power; Remaining),Node 5 (Reactive Power; Total),Node 5 (Reactive Power; Critical),Node 5 (Reactive Power; Remaining),Node 6 (Apparent Power; Total),Node 6 (Apparent Power; Critical),Node 6 (Apparent Power; Remaining),Node 6 (Real Power; Total),Node 6 (Real Power; Critical),Node 6 (Real Power; Remaining),Node 6 (Reactive Power; Total),Node 6 (Reactive Power; Critical),Node 6 (Reactive Power; Remaining),Node 7 (Apparent Power; Total),Node 7 (Apparent Power; Critical),Node 7 (Apparent Power; Remaining),Node 7 (Real Power; Total),Node 7 (Real Power; Critical),Node 7 (Real Power; Remaining),Node 7 (Reactive Power; Total),Node 7 (Reactive Power; Critical),Node 7 (Reactive Power; Remaining)
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.261760105,0.993684211,0.268075895,1.1986721,0.944,0.2546721,0.393984467,0.310277795,0.083706671,21.73910526,5.263157895,16.47594737,20.65215,5,15.65215,6.788033443,1.643420526,5.144612917,0.531233789,0.263157895,0.268075895,0.5046721,0.25,0.2546721,0.165877698,0.082171026,0.083706671,0.859684211,0.263157895,0.596526316,0.8167,0.25,0.5667,0.268436309,0.082171026,0.186265282
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.305630316,0.993684211,0.311946105,1.2403488,0.944,0.2963488,0.407682935,0.310277795,0.09740514,22.20184211,5.263157895,16.93868421,21.09175,5,16.09175,6.932522975,1.643420526,5.28910245,0.575104,0.263157895,0.311946105,0.5463488,0.25,0.2963488,0.179576166,0.082171026,0.09740514,0.936631579,0.263157895,0.673473684,0.8898,0.25,0.6398,0.292463117,0.082171026,0.21029209
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.359251474,0.993684211,0.365567263,1.2912889,0.944,0.3472889,0.424426137,0.310277795,0.114148341,22.54021053,5.263157895,17.27705263,21.4132,5,16.4132,7.038178481,1.643420526,5.394757955,0.628725158,0.263157895,0.365567263,0.5972889,0.25,0.3472889,0.196319368,0.082171026,0.114148341,1.038157895,0.263157895,0.775,0.98625,0.25,0.73625,0.324164699,0.082171026,0.241993672
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.414017053,0.993684211,0.420332842,1.3433162,0.944,0.3993162,0.441526683,0.310277795,0.131248888,22.19126316,5.263157895,16.92810526,21.0817,5,16.0817,6.9292197,1.643420526,5.285799174,0.683490737,0.263157895,0.420332842,0.6493162,0.25,0.3993162,0.213419914,0.082171026,0.131248888,1.158894737,0.263157895,0.895736842,1.10095,0.25,0.85095,0.361864766,0.082171026,0.279693739
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.480911368,0.993684211,0.487227158,1.4068658,0.944,0.4628658,0.462414427,0.310277795,0.152136631,21.77578947,5.263157895,16.51263158,20.687,5,15.687,6.799488084,1.643420526,5.156067558,0.750385053,0.263157895,0.487227158,0.7128658,0.25,0.4628658,0.234307658,0.082171026,0.152136631,1.247210526,0.263157895,0.984052632,1.18485,0.25,0.93485,0.389441362,0.082171026,0.307270336
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.583868,0.993684211,0.590183789,1.5046746,0.944,0.5606746,0.494562624,0.310277795,0.184284829,21.47384211,5.263157895,16.21068421,20.40015,5,15.40015,6.705205048,1.643420526,5.061784522,0.853341684,0.263157895,0.590183789,0.8106746,0.25,0.5606746,0.266455855,0.082171026,0.184284829,1.347736842,0.263157895,1.084578947,1.28035,0.25,1.03035,0.420830694,0.082171026,0.338659668
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667290737,0.993684211,0.673606526,1.5839262,0.944,0.6399262,0.520611366,0.310277795,0.21033357,21.84363158,5.263157895,16.58047368,20.75145,5,15.75145,6.820671774,1.643420526,5.177251249,0.936764421,0.263157895,0.673606526,0.8899262,0.25,0.6399262,0.292504597,0.082171026,0.21033357,1.465947368,0.263157895,1.202789474,1.39265,0.25,1.14265,0.457741919,0.082171026,0.375570893
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.701587263,0.993684211,0.707903053,1.6165079,0.944,0.6725079,0.531320453,0.310277795,0.221042657,23.80868421,5.263157895,18.54552632,22.61825,5,17.61825,7.434259262,1.643420526,5.790838736,0.971060947,0.263157895,0.707903053,0.9225079,0.25,0.6725079,0.303213684,0.082171026,0.221042657,1.550105263,0.263157895,1.286947368,1.4726,0.25,1.2226,0.484020213,0.082171026,0.401849187
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.687178421,0.993684211,0.693494211,1.6028195,0.944,0.6588195,0.526821293,0.310277795,0.216543498,23.31610526,5.263157895,18.05294737,22.1503,5,17.1503,7.280451535,1.643420526,5.637031009,0.956652105,0.263157895,0.693494211,0.9088195,0.25,0.6588195,0.298714524,0.082171026,0.216543498,1.506736842,0.263157895,1.243578947,1.4314,0.25,1.1814,0.470478428,0.082171026,0.388307402
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.681802737,0.993684211,0.688118526,1.5977126,0.944,0.6537126,0.525142736,0.310277795,0.214864941,21.78252632,5.263157895,16.51936842,20.6934,5,15.6934,6.801591662,1.643420526,5.158171136,0.951276421,0.263157895,0.688118526,0.9037126,0.25,0.6537126,0.297035967,0.082171026,0.214864941,1.480736842,0.263157895,1.217578947,1.4067,0.25,1.1567,0.462359931,0.082171026,0.380188904
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.649669158,0.993684211,0.655984947,1.5671857,0.944,0.6231857,0.515109029,0.310277795,0.204831234,21.26184211,5.263157895,15.99868421,20.19875,5,15.19875,6.639008069,1.643420526,4.995587544,0.919142842,0.263157895,0.655984947,0.8731857,0.25,0.6231857,0.28700226,0.082171026,0.204831234,1.423210526,0.263157895,1.160052632,1.35205,0.25,1.10205,0.444397344,0.082171026,0.362226318
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.558850211,0.993684211,0.565166,1.4809077,0.944,0.5369077,0.486750822,0.310277795,0.176473027,20.27989474,5.263157895,15.01673684,19.2659,5,14.2659,6.332395102,1.643420526,4.688974576,0.828323895,0.263157895,0.565166,0.7869077,0.25,0.5369077,0.258644053,0.082171026,0.176473027,1.286631579,0.263157895,1.023473684,1.2223,0.25,0.9723,0.401750582,0.082171026,0.319579555
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.435322947,0.993684211,0.441638737,1.3635568,0.944,0.4195568,0.448179447,0.310277795,0.137901651,19.45726316,5.263157895,14.19410526,18.4844,5,13.4844,6.075528474,1.643420526,4.432107948,0.704796632,0.263157895,0.441638737,0.6695568,0.25,0.4195568,0.220072678,0.082171026,0.137901651,1.118894737,0.263157895,0.855736842,1.06295,0.25,0.81295,0.34937477,0.082171026,0.267203743
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315221368,0.993684211,0.321537158,1.2494603,0.944,0.3054603,0.410677741,0.310277795,0.100399945,18.61968421,5.263157895,13.35652632,17.6887,5,12.6887,5.813994531,1.643420526,4.170574005,0.584695053,0.263157895,0.321537158,0.5554603,0.25,0.3054603,0.182570972,0.082171026,0.100399945,0.906210526,0.263157895,0.643052632,0.8609,0.25,0.6109,0.282964146,0.082171026,0.20079312
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.243327579,0.993684211,0.249643368,1.1811612,0.944,0.2371612,0.388228912,0.310277795,0.077951117,17.92378947,5.263157895,12.66063158,17.0276,5,12.0276,5.596701469,1.643420526,3.953280943,0.512801263,0.263157895,0.249643368,0.4871612,0.25,0.2371612,0.160122143,0.082171026,0.077951117,0.757263158,0.263157895,0.494105263,0.7194,0.25,0.4694,0.236455345,0.082171026,0.154284319
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185775684,0.993684211,0.192091474,1.1264869,0.944,0.1824869,0.370258339,0.310277795,0.059980543,17.79084211,5.263157895,12.52768421,16.9013,5,11.9013,5.555188667,1.643420526,3.911768141,0.455249368,0.263157895,0.192091474,0.4324869,0.25,0.1824869,0.14215157,0.082171026,0.059980543,0.651105263,0.263157895,0.387947368,0.61855,0.25,0.36855,0.203307553,0.082171026,0.121136527
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.156560947,0.993684211,0.162876737,1.0987329,0.944,0.1547329,0.36113604,0.310277795,0.050858245,17.74773684,5.263157895,12.48457895,16.86035,5,11.86035,5.541729053,1.643420526,3.898308527,0.426034632,0.263157895,0.162876737,0.4047329,0.25,0.1547329,0.133029271,0.082171026,0.050858245,0.581052632,0.263157895,0.317894737,0.552,0.25,0.302,0.181433626,0.082171026,0.0992626
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.138576,0.993684211,0.144891789,1.0816472,0.944,0.1376472,0.355520242,0.310277795,0.045242447,17.71821053,5.263157895,12.45505263,16.8323,5,11.8323,5.532509464,1.643420526,3.889088938,0.408049684,0.263157895,0.144891789,0.3876472,0.25,0.1376472,0.127413473,0.082171026,0.045242447,0.538684211,0.263157895,0.275526316,0.51175,0.25,0.26175,0.168204091,0.082171026,0.086033065
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.141374526,0.993684211,0.147690316,1.0843058,0.944,0.1403058,0.356394082,0.310277795,0.046116286,17.97273684,5.263157895,12.70957895,17.0741,5,12.0741,5.61198528,1.643420526,3.968564754,0.410848211,0.263157895,0.147690316,0.3903058,0.25,0.1403058,0.128287313,0.082171026,0.046116286,0.534421053,0.263157895,0.271263158,0.5077,0.25,0.2577,0.16687292,0.082171026,0.084701894
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167654632,0.993684211,0.173970421,1.1092719,0.944,0.1652719,0.364600042,0.310277795,0.054322247,19.21452632,5.263157895,13.95136842,18.2538,5,13.2538,5.999733919,1.643420526,4.356313393,0.437128316,0.263157895,0.173970421,0.4152719,0.25,0.1652719,0.136493273,0.082171026,0.054322247,0.544421053,0.263157895,0.281263158,0.5172,0.25,0.2672,0.169995419,0.082171026,0.087824393
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20744,0.993684211,0.213755789,1.147068,0.944,0.203068,0.377023019,0.310277795,0.066745224,20.21731579,5.263157895,14.95415789,19.20645,5,14.20645,6.312854832,1.643420526,4.669434306,0.476913684,0.263157895,0.213755789,0.453068,0.25,0.203068,0.14891625,0.082171026,0.066745224,0.572368421,0.263157895,0.309210526,0.54375,0.25,0.29375,0.178721982,0.082171026,0.096550956
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.238291474,0.993684211,0.244607263,1.1763769,0.944,0.2323769,0.386656389,0.310277795,0.076378593,20.17336842,5.263157895,14.91021053,19.1647,5,14.1647,6.299132271,1.643420526,4.655711745,0.507765158,0.263157895,0.244607263,0.4823769,0.25,0.2323769,0.15854962,0.082171026,0.076378593,0.634105263,0.263157895,0.370947368,0.6024,0.25,0.3524,0.197999305,0.082171026,0.115828279
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.218735579,0.993684211,0.225051368,1.1577988,0.944,0.2137988,0.380550063,0.310277795,0.070272267,20.96936842,5.263157895,15.70621053,19.9209,5,14.9209,6.547683191,1.643420526,4.904262665,0.488209263,0.263157895,0.225051368,0.4637988,0.25,0.2137988,0.152443294,0.082171026,0.070272267,0.759,0.263157895,0.495842105,0.72105,0.25,0.47105,0.236997674,0.082171026,0.154826648
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234418737,0.993684211,0.240734526,1.1726978,0.944,0.2286978,0.385447127,0.310277795,0.075169332,21.21463158,5.263157895,15.95147368,20.1539,5,15.1539,6.624266587,1.643420526,4.980846061,0.503892421,0.263157895,0.240734526,0.4786978,0.25,0.2286978,0.157340358,0.082171026,0.075169332,0.891526316,0.263157895,0.628368421,0.84695,0.25,0.59695,0.278379003,0.082171026,0.196207977
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.261760105,0.993684211,0.268075895,1.1986721,0.944,0.2546721,0.393984467,0.310277795,0.083706671,21.92278947,5.263157895,16.65963158,20.82665,5,15.82665,6.845388819,1.643420526,5.201968293,0.531233789,0.263157895,0.268075895,0.5046721,0.25,0.2546721,0.165877698,0.082171026,0.083706671,0.967684211,0.263157895,0.704526316,0.9193,0.25,0.6693,0.302159298,0.082171026,0.219988272
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.305630316,0.993684211,0.311946105,1.2403488,0.944,0.2963488,0.407682935,0.310277795,0.09740514,22.86921053,5.263157895,17.60605263,21.72575,5,16.72575,7.140908698,1.643420526,5.497488172,0.575104,0.263157895,0.311946105,0.5463488,0.25,0.2963488,0.179576166,0.082171026,0.09740514,1.087789474,0.263157895,0.824631579,1.0334,0.25,0.7834,0.339662154,0.082171026,0.257491128
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.359251474,0.993684211,0.365567263,1.2912889,0.944,0.3472889,0.424426137,0.310277795,0.114148341,22.96536842,5.263157895,17.70221053,21.8171,5,16.8171,7.170933991,1.643420526,5.527513465,0.628725158,0.263157895,0.365567263,0.5972889,0.25,0.3472889,0.196319368,0.082171026,0.114148341,1.205473684,0.263157895,0.942315789,1.1452,0.25,0.8952,0.376409037,0.082171026,0.294238011
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.414017053,0.993684211,0.420332842,1.3433162,0.944,0.3993162,0.441526683,0.310277795,0.131248888,22.82889474,5.263157895,17.56573684,21.68745,5,16.68745,7.128320097,1.643420526,5.484899571,0.683490737,0.263157895,0.420332842,0.6493162,0.25,0.3993162,0.213419914,0.082171026,0.131248888,1.344473684,0.263157895,1.081315789,1.27725,0.25,1.02725,0.419811773,0.082171026,0.337640747
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.480911368,0.993684211,0.487227158,1.4068658,0.944,0.4628658,0.462414427,0.310277795,0.152136631,22.813,5.263157895,17.54984211,21.67235,5,16.67235,7.123356967,1.643420526,5.479936441,0.750385053,0.263157895,0.487227158,0.7128658,0.25,0.4628658,0.234307658,0.082171026,0.152136631,1.482157895,0.263157895,1.219,1.40805,0.25,1.15805,0.462803654,0.082171026,0.380632628
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.583868,0.993684211,0.590183789,1.5046746,0.944,0.5606746,0.494562624,0.310277795,0.184284829,22.23989474,5.263157895,16.97673684,21.1279,5,16.1279,6.944404906,1.643420526,5.30098438,0.853341684,0.263157895,0.590183789,0.8106746,0.25,0.5606746,0.266455855,0.082171026,0.184284829,1.590421053,0.263157895,1.327263158,1.5109,0.25,1.2609,0.496608815,0.082171026,0.414437788
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667290737,0.993684211,0.673606526,1.5839262,0.944,0.6399262,0.520611366,0.310277795,0.21033357,22.16652632,5.263157895,16.90336842,21.0582,5,16.0582,6.921495624,1.643420526,5.278075098,0.936764421,0.263157895,0.673606526,0.8899262,0.25,0.6399262,0.292504597,0.082171026,0.21033357,1.607105263,0.263157895,1.343947368,1.52675,0.25,1.27675,0.501818458,0.082171026,0.419647431
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.701587263,0.993684211,0.707903053,1.6165079,0.944,0.6725079,0.531320453,0.310277795,0.221042657,24.01547368,5.263157895,18.75231579,22.8147,5,17.8147,7.498829254,1.643420526,5.855408729,0.971060947,0.263157895,0.707903053,0.9225079,0.25,0.6725079,0.303213684,0.082171026,0.221042657,1.657157895,0.263157895,1.394,1.5743,0.25,1.3243,0.517447387,0.082171026,0.43527636
